0;Produkt;Kalorie;Białko;Tłuszcz;Węglowodany;Cukier;Błonnik;categoryId
1;Mleko spożywcze 3,5% tłuszczu;64;3,3;3,5;4,8;0,2;0;1
2;Mleko spożywcze 3,2% tłuszczu;61;3,3;3,2;4,8;0,2;0;1
3;Mleko spożywcze 2% tłuszczu;51;3,4;2;4,9;0,2;0;1
4;Mleko spożywcze 1,5% tłuszczu;47;3,4;1,5;5;0,2;0;1
5;Mleko spożywcze 0,5% tłuszczu;39;3,5;0,5;5,1;0,2;0;1
6;Mleko UHT, 3,2% tluszczu;61;3,3;3,2;4,8;0,2;0;1
7;Mleko UHT, 1,5% tłuszczu;47;3,4;1,5;5;0,2;0;1
8;Mleko UHT, 0,5% tłuszczu;39;3,5;0,5;5,1;0,2;0;1
9;Mleko kozie;68;3,2;4,1;4,5;0;0;1
10;Mleko owcze;107;6;7;5,1;0;0;1
11;Mleko odtłuszczone, w proszku;360;35,7;0,8;51,2;0;0;1
12;Mleko pełne, w proszku;479;27;24;38,7;0;0;1
13;Mleko zagęszczone,niesłodzone;131;6,6;7,5;9,4;0;0;1
14;Mleko zagęszczone , slodzone;326;7,5;8;55,3;45;0;1
15;Śmietanka kremowa, 30% tluszczu;287;2,2;30;3,1;0;0;1
16;Śmietana, 18% tłuszczu;184;2,5;18;3,6;0;0;1
17;Śmietana, 12% tłuszczu;133;2,7;12;3,9;0;0;1
18;Śmietanka do kawy, 9% tłuszczu;107;2,8;9;4;0;0;1
19;Jogurt naturalny, 2% tłuszczu;60;4,3;2;6,2;1;0;1
20;Jogurt bananowy, 1,5% tłuszczu;70;3,7;1,5;10,4;3,6;0,2;1
21;Jogurt jagodowy, 1,5% tłuszczu ;63;3,7;1,5;8,8;2,2;0,4;1
22;Jogurt morelowy, 1,5% tłuszczu;64;3,7;1,5;8,9;2,9;0,3;1
23;Jogurt truskawkowy, 1,5% tłuszczu;61;3,7;1,5;8,2;2,4;0,3;1
24;Jogurt wiśniowy, 1,5% tłuszczu;61;3,7;1,5;8,2;1,7;0,1;1
25;Kefir, 2% tluszczu;51;3,4;2;4,7;0;0;1
26;Maślanka spożywcza, 0,5% tłuszczu;37;3,4;0,5;4,7;0;0;1
27;Napój mleczny jogurtowy;82;4;1,9;12,1;7,2;0;1
28;Napój mleczny kakaowy;81;3,3;2,1;12,1;7,2;0,1;1
29;Serwatka płynna ;25;0,8;0,1;5,1;0;0;1
30;Ser, brie pełnotłusty;329;19,8;28;0,2;0;0;1
31;Ser, camembert pełnotłusty;291;21,4;23;0,2;0;0;1
32;Ser, cheddar pelnotłusly;391;27,1;31,7;0,1;0;0;1
33;Ser, edamski tłusty;313;26,1;23,4;0,1;0;0;1
34;Ser, ementaler pełnotłusty;380;28,8;29,7;0,1;0;0;1
35;Ser, gouda tłusty;316;27,9;22,9;0,1;0;0;1
36;Ser. myśliwski pelnotłusty;346;25,5;27,4;0,1;0;0;1
37;Ser, parmezan;452;41,5;32;0,1;0;0;1
38;Ser, rokpol pelnotlusty;363;22,6;30,6;0,1;0;0;1
39;Ser, salami pelnotłusty;351;25,2;28,1;0,1;0;0;1
40;Ser, tylżycki pełnotłusty;353;26,1;27,9;0,1;0;0;1
41;Ser, tylżyck i tłusty;334;27,8;25;0,1;0;0;1
42;"Ser typu „Feta"" ";215;17;16;1;0;0;1
43;Ser twarogowy chudy;99;19,8;0,5;3,5;0;0;1
44;Ser twarogowy półtłusty;133;18,7;4,7;3,7;0;0;1
45;Ser twarogowy tłusty;176;17,7;10,1;3,5;0;0;1
46;Serek twarogowy, homogenizowany, pełnotłusty;161;12,7;11;3;0;0;1
47;Serek twarogowy, homogenizowany, truskawkowy;168;15,3;3,9;17,7;14,6;0,1;1
48;Serek twarogowy, homogenizowany, waniliowy;159;16,8;4,2;13,3;10;0;1
49;Serek twarogowy, ziarnisty;101;12,3;4,3;3,3;0;0;1
50;"Serek typu „Fromage"", naturalny";379;10,2;37,1;2,4;0;0;1
51;"Serek typu „Fromage"", z czosnkiem";368;10;35,2;4;0;0,2;1
52;Ser topiony, edamski;298;13,5;27;1,2;0;0;1
53;Deser twarogowy, termizowany, kakaowy;157;13,9;6,2;11,2;7,8;0,1;1
54;Deser twarogowy, termizowany, truskawkowy;170;11;5,8;18,3;15,6;0,1;1
55;Deser mleczny, ryżowo-jabłkowy;134;2,8;3;23,9;13,5;0,3;1
56;Deser mleczny, ryżowo-waniliowy;133;3;2,9;23,5;13,4;0,2;1
57;Lody mleczno-owocowe ;116;3,9;2,5;19,4;19,4;0,3;11
58;Lody śmietankowe;100;3,2;2,5;17,6;13;0;11
59;Jaja kurze całe;139;12,5;9,7;0,6;0;0;2
60;Białko jaja kurzego;49;10,9;0,2;0,7;0;0;2
61;Żółtko jaja kurzego;314;15,5;28,2;0,3;0;0;2
62;Baranina, łopatka;285;15,6;25;0;0;0;3
63;Baranina, udziec;232;18;18;0;0;0;3
64;Cielęcina, łopatka;106;19,9;2,8;0;0;0;3
65;Cielęcina, sznyclówka;105;20,5;2,4;0;0;0;3
66;Cielęcina, udziec;108;19,9;3,1;0;0;0;3
67;Wieprzowina, boczek bez kości;510;10,1;53;0;0;0;3
68;Wieprzowina, golonka ze skórą;294;18,6;24,7;0;0;0;3
69;Wieprzowina, karkówka;267;16,1;22,8;0;0;0;3
70;Wieprzowina, łopatka;257;16;21,7;0;0;0;3
71;Wieprzowina, podgardle;630;7,4;67,8;0;0;0;3
72;Wieprzowina, schab surowy z kością;174;21;10;0;0;0;3
73;Wieprzowina, szynka surowa;261;18;21,3;0;0;0;3
74;Wieprzowina, żeberka;321;15,2;29,3;0;0;0;3
75;Wołowina, pieczeń;117;20,9;3,6;0;0;0;3
76;Wołowina, polędwica;113;20,1;3,5;0;0;0;3
77;Wołowina, rostbef;152;21,5;7,3;0;0;0;3
78;Wołowina, rozbratel;157;16,7;10,1;0;0;0;3
79;Wołowina, szponder;217;19,3;15,7;0;0;0;3
80;Flaki;84;16;2,2;0;0;0;3
81;Nerki wieprzowe;102;16,8;3,8;0;0;0;3
82;Nogi wieprzowe;274;23;20,4;0;0;0;3
83;Ozór wieprzowy;165;16,5;11,1;0;0;0;3
84;Serca wieprzowe;111;16,9;4,8;0;0;0;3
85;Wątroba cielęca;124;19,2;3,3;4,1;0;0;3
86;Wątroba wieprzowa;130;22;3,4;2,6;0;0;3
87;Wątroba wołowa;125;20;3,1;4;0;0;3
88;Gęś , tuszka;339;14,1;31,8;0;0;0;3
